Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),numbers
01-Jan-2019,28243.95,28252.2,27988.6,28111.65,100916543,2354.6,1
02-Jan-2019,28074.05,28188.4,27801.75,27876.95,167334185,3410.28,2
03-Jan-2019,27874.05,28045.3,27630.2,27674.65,175238949,3362.2,3
04-Jan-2019,27707.2,27842.75,27533.9,27719.5,163387940,3295.06,4
07-Jan-2019,27893.95,27932,27652.95,27706.6,135700262,2862.02,5
08-Jan-2019,27726.75,27799.5,27625.8,27689.1,130644927,3152.52,6
09-Jan-2019,27780.05,27818.9,27470.9,27683.5,148827202,3227.23,7
10-Jan-2019,27719.4,27820.6,27675.95,27798.2,137215850,3330.28,8
11-Jan-2019,27816.9,27842,27592.1,27707.55,108041758,2753.97,9
14-Jan-2019,27653.7,27659.85,27391.65,27514.85,112371202,3071.25,10
15-Jan-2019,27603.25,27744.15,27574.25,27712.6,103197975,2867.13,11
16-Jan-2019,27740.15,27848.55,27677.5,27727.65,102816080,2688.58,12
17-Jan-2019,27779.35,27847.45,27619.85,27710.65,119276971,2818.34,13
18-Jan-2019,27763.45,27768.6,27335.2,27410.55,130958764,2971.54,14
21-Jan-2019,27441.3,27617.4,27292.25,27322.4,136502965,2744.19,15
22-Jan-2019,27323.2,27452.65,27150.6,27430.75,156924715,3741.98,16
23-Jan-2019,27457.7,27479.35,27227.3,27264.05,130205519,3665.24,17
24-Jan-2019,27300.8,27342.1,27118.4,27232.6,157633445,4238.52,18
25-Jan-2019,27321.45,27375.45,26751.6,26868.3,162390258,4148.04,19
28-Jan-2019,26868.45,26878.4,26237.25,26372.1,161788804,3694.54,20
29-Jan-2019,26309.55,26491.2,26162.5,26398.8,160200682,3412.52,21
30-Jan-2019,26499.2,26506.65,26264.6,26396.15,155005286,3444.79,22
31-Jan-2019,26500,26581.3,26337.1,26555.6,228479498,4883.75,23
01-Feb-2019,26630.05,27046.25,26537.25,26828.2,221881234,4763.69,24
04-Feb-2019,26820.95,26824.75,26401.05,26588.2,135082848,2932.42,25
05-Feb-2019,26583.55,26642.2,26301.35,26397.75,173479315,3209.26,26
06-Feb-2019,26488.9,26709.95,26257,26639.8,153226523,3544.46,27
07-Feb-2019,26681.85,27011.4,26652.95,26956.15,212181116,4342.42,28
08-Feb-2019,26897.1,26922.6,26498.05,26536.6,175437725,3386.54,29
11-Feb-2019,26486.25,26508.05,26134.5,26240,166473702,3671.62,30
12-Feb-2019,26259.25,26336.6,26060.6,26094.4,164251404,2955.06,31
13-Feb-2019,26159.4,26195.6,25787.85,25826.95,149702336,3405.21,32
14-Feb-2019,25767.9,25977.95,25758.4,25945.7,192491625,3335.83,33
15-Feb-2019,25911.55,25932.2,25308.95,25500.6,188739756,3701.79,34
18-Feb-2019,25490,25496.65,25131.55,25296.45,129701175,3103.96,35
19-Feb-2019,25310.65,25556.9,25307.1,25337.5,173028390,3340.21,36
20-Feb-2019,25434.1,25732.05,25434.1,25677.3,170327880,3468.71,37
21-Feb-2019,25724.95,25944.7,25674.45,25896.95,156413872,2956.92,38
22-Feb-2019,25930.2,26124,25867.35,26097.55,168739680,3106.73,39
25-Feb-2019,26179.05,26241.65,26093.9,26212.65,221369623,3899.44,40
